Labels,Text,Text_Tag
5,"The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.","iraq,terrorism"
5,The racial and ethnic makeup of the Gwinnett County Sheriffs Office mirrors the community it serves.,"county-government,crime,criminal-justice,diversity,jobs,public-safety"
5,The city of Clarkston cant decriminalize marijuana. Only state legislators and Congress can do that.,drugs
5,A Democratic poll operation shows that Fox News is the most trusted news operation in the country.,"bipartisanship,pop-culture,pundits"
5,Says Mitt Romney has flip-flopped on abortion rights.,abortion
5,"(Obama) did accept donations from lobbyists and PACs and he spent money in this campaign from that, through his political action committee.",ethics
5,The world food demand is going to double sometime between now and 2070.,poverty
5,Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions.,"gays-and-lesbians,marriage"
5,"There have been multiple media reports about (Donald Trumps) business dealings with the mob, with the mafia.","candidates-biography,crime"
5,Says state Rep. Fred Clark (D-Baraboo) ran a red light and seriously injured a bicyclist.,candidates-biography
5,The Austin Independent School Districts graduation rate reached an all-time high of 82.5 percent in 2012.,education
5,Says six of the states 58 family planning centers had to close because of Gov. Chris Christies budget cuts.,"health-care,women"
5,It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.,"afghanistan,congress,military"
5,"The balanced-budget amendment once came within one vote of passing Congress but was defeated because of the no vote from a top Senate Republican, and Rick Santorum says he stood up and called for him to resign his chairmanship.","federal-budget,new-hampshire-2012"
5,"Under current conditions, by 2023, the interest payments on the national debt will be $722 billion, larger than the projected defense spending of $696 billion.","deficit,federal-budget"
5,"47 percent of Americanscant pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money.","economy,income"
5,House Appropriations Chair David Obey's partial earmark ban wouldn't apply to 90% of earmarks.,federal-budget
5,"Ken Buck wants to outlaw abortion, even in cases of rape or incest.","abortion,message-machine"
5,Says Scott Walker enacted the biggest cuts to education in our states history.,"education,state-budget,state-finances"
5,The property appraisers budget is $1 million less today than when I took office 16 years ago.,county-budget
5,"Let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. There are airline mechanic jobs paying a lot of money that can't get filled. Remarks at AFSCME forum 6/19/2007",economy
5,Two days of interest we pay to China is enough to buy one joint strike fighter [jet].,"deficit,federal-budget"
5,We spend less than 2 percent more every year. That is the lowest increase in spending since they have been keeping numbers.,"economy,state-budget"
5,"By the end of Governor Rick Perry's term, he will have drained Texas taxpayers ... of more than $360,000 to pay for the rental mansion he has been living in while the historic Governor's Mansion is repaired.","elections,state-budget"
5,"From 2008 to 2011, the pages in the conforming bills have gone from 400 pages to 2,200.",state-budget
5,"You can go to Georgia and make about $6,000 more a year as a teacher.",education
5,Says he has never voted for raising taxes.,"candidates-biography,taxes"
5,Says Bill Clinton and George Bush both say build the Keystone XL.,"climate-change,energy,environment,jobs"
5,"John McCain's health care plan ""won't guarantee coverage of cancer screenings or maternity care.",health-care
5,Says Dick Cheney supported gay marriage soonerthan Hillary Clinton.,gays-and-lesbians
5,The annual gross domestic product of metro Atlanta is bigger than 28 states in the union.,economy
5,"In 2006, Charlie Crist opposed in-state tuition for illegal immigrants.","education,immigration"
5,"A far different picture from the prior eight years, which saw 115 increases in taxes and fees.",taxes
5,Theres a big chunk of the country that thinks that I have been too soft on Wall Street.,"corporations,economy,market-regulation"
5,"The Congressional Budget Office, a nonpartisan office, did an analysis and said that passing comprehensive immigration reform will reduce the federal deficit by $200 billion over the next decade.","children,congress,debt,deficit,economy,families,immigration,legal-issues,taxes,workers"
5,"Says his elections proposal would allow a potential of 168 hours (of early voting), which I think is the most weve ever had.",elections
5,Members of the public are being charged $50 to hear Gov. Scott Walker and a dozen members of his administration talk about jobs and the economy at Lambeau Field.,jobs
5,Says half the Americans dont pay any income taxes.,taxes
5,"Re: (Marco) Rubios support of earmark ban: In 2002 alone, he requested 37 earmarks worth $43 million.","federal-budget,state-budget"
5,"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls.","foreign-policy,military"
5,One out of every three automobile fatalities can be attributed to alcohol.,"Alcohol,drugs"
5,A million people could get health insurance right away if Texas expanded Medicaid under Obamacare.,"health-care,medicaid"
5,Warren Buffett called credit default swaps financial weapons of mass destruction. And Greene was the first individual to use them.,"candidates-biography,financial-regulation,message-machine"
5,The murder rate in Atlanta is on the rise this year.,"crime,public-safety"
5,As governor of Florida I defunded Planned Parenthood.,abortion
5,Greece has a GDP the size of the Dallas-Fort Worth Metroplex.,"economy,foreign-policy,pundits"
5,"Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.","congress,drugs"
5,Weve had Muslims in America since George Washington.,"history,immigration"
5,Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.,economy
5,"Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama.",candidates-biography
5,"Under Barack Obama's health care proposal, ""if you've got a health care plan that you like, you can keep it.",health-care
5,"The major immigration issue was about Poles, and Bulgarians, and Romanians, and that they werent contributing economically. The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.","economy,immigration,jobs"
5,"The United States is no longer top nation in the globe on infrastructure, having fallen to 15th.",infrastructure
5,Says the United States does not trade as much as other developed nations.,"economy,trade"
5,Ted Cruz was the longest-serving solicitor general in the history of Texas.,"candidates-biography,legal-issues"
5,The Milwaukee Police Department has seized nearly as many firearms this year as the much larger New York City Police Department.,guns
5,"Under Gov. Kasich, Ohio wages have increased by $10.3 billion.","economy,jobs"
5,"New Jersey has the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.",taxes
5,"We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.",environment
5,"John McCain ""said publicly that Hillary Clinton would make a good president.",elections
5,"We reduced the government workforce by 13,000, 11 percent, during my eight years.","florida,jobs,state-budget"
5,Governor Palin is the most popular governor in the country.,candidates-biography
5,Economic Development Commission Executive Director Keith Stokes sent me a letter and he said the taxpayers will never be on the hook for these bonds for 38 Studios.,"bankruptcy,corporations,debt,economy,history,jobs,state-budget,state-finances,taxes"
5,"Bill McCollum explained his lack of action on mortgage fraud by saying, ""You can't do everything.",housing
5,"The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.",taxes
5,"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",science
5,Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.,"housing,tourism,trade"
5,Initial efforts to strip airport contractors of their special diversity status has no effect on the contracts or the citys diversity goals.,diversity
5,More women were killed by their husbands or boyfriends since Sept. 11 than all the Americans who were killed by 9/11 or in Afghanistan and Iraq.,"crime,terrorism,women"
5,"Says Lloyd Doggett voted for the health care, stimulus and cap-and-trade bills.","cap-and-trade,climate-change,economy,health-care,message-machine"
5,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",education
5,America is No. 1one in oil and gas.,"energy,gas-prices"
5,"There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.",health-care
5,Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.,immigration
5,"Since 2008, U.S. crude oil output has increased by over 80 percent, an increase of over 4 million barrels a day. That is the fastest increase in U.S. history.",energy
5,The actual deportations from the interior of the country are way down under President Obama.,immigration
5,Hair stylists are required to undergo more government scrutiny than foreclosure consultants.,"consumer-safety,housing"
5,"Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.",health-care
5,Says wrestling was a favorite sport of Abraham Lincoln.,"history,sports"
5,"When these [undocumented] students graduate from college, theyre still illegal aliens. They cannot get a job.","children,civil-rights,education,human-rights,immigration,legal-issues,poverty,state-budget,welfare,workers"
5,"Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.","baseball,economy,recreation,sports"
5,The federal government owns tens of thousands of properties that are vacant or underused.,"federal-budget,government-efficiency"
5,"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.",economy
5,Our pension system is the only one in the country thats 100 percent funded.,"pensions,state-budget,state-finances,states"
5,Newt Gingrich has been a proponent of selecting a president by popular vote instead of the Electoral College.,elections
5,"Says, Since 1994 when VAWA was first passed, incidents of domestic violence have dropped more than 50 percent.","congress,women"
5,50% of Hispanic students count on Pell Grants to pay for college.,"education,federal-budget"
5,Georgias unemployment rate has exceeded the national rate for 50 consecutive months.,jobs
5,"Since taking office in January 2011, the rainy day fund has increased by 226 percent.",state-budget
5,Says his release of 33 years of tax returns is more than any presidential candidate in history.,candidates-biography
5,I never proposed privatizing the (Milwaukee County) airport.,"transportation,voting-record"
5,"Before this day is out, 18 more veterans will have taken their own lives. That is the daily average, it is intolerable, and it has to stop.",veterans
5,(M)ore Georgians have jobs than at any other time since October 2008.,"economy,jobs"
5,"The House of Representatives just voted 300-131 to remove country-of-origin labeling on chicken, pork, and beef sold in the U.S.","agriculture,trade"
5,Says Sen. Rand Pauls 2011 budget included a big cut in the CDC.,"ebola,federal-budget,public-health"
5,The U.S. would gainrevenue by cutting personal income tax rates in half and ending tax breaks.,"deficit,taxes"
5,"We had a No Child Left Behind a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools.",education
5,Senator Webb was a reliable vote for President Obama and Senator Harry Reid.,voting-record
5,Says he is the only candidate in the race for Clackamas County Chair who will refuse to join the Public Employees Retirement System.,"county-budget,county-government,message-machine-2012,workers"
5,Says Austin Mayor Lee Leffingwell voted for a toll lane on MoPac.,transportation
5,Ill be the only economist in the (U.S.) House.,candidates-biography
5,"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true.",candidates-biography
5,90 percent of babies with Down syndrome are aborted.,abortion
5,Taxpayers pay for roughly 45 percent of all births in Wisconsin! And 60 percent of the births in Milwaukee!!!,"health-care,medicaid"
5,New provisions of the health care law bar the use offlexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,health-care
5,Wisconsin lost more jobs over the past 12 months than any other state.,jobs
5,"Taxpayers earning $1 million pay an effective tax rate that is about four times what taxpayers earning $100,000 pay.",taxes
5,"By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family.","children,corrections-and-updates,education,income"
5,"According to independent experts, Donald Trumps tax plan would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.","debt,deficit,taxes"
