"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.N. Secretary-General Antonio Guterres says he is alarmed by the risk of military escalation on the Korean Peninsula. The absence of communication channels with the DPRK (North Korea) is dangerous, he told the 15-member council.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Wang Yi says a peace agreement is the only right choice in the nuclear dispute with North Korea. Peaceful settlement of the nuclear issue on the Korean Peninsula through dialogue and negotiations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. will stand up against anyone who commits crimes against humanity, Secretary of State Rex Tillerson says. The comments come less than a week after Washington launched missile strikes in response to an alleged chemical attack.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump signed an order to undo Obama-era climate change regulations. Environmental groups call it dangerous and against the global trend toward cleaner energy technologies. Segolene Royal: Contacts with the new minister are very friendly.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump intends to nominate Kevin Hassett as chairman of the Council of Economic Advisors. Hassett, who previously served as a senior economist as the Federal Reserve, needs to be confirmed.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump intends to nominate Mark Green as secretary of the Army. Green is a former Army doctor currently serving as a Tennessee state senator. Green served in the 160th Special Operations Aviation Regiment.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Treasury Secretary Steve Mnuchin says he plans to announce additional economic sanctions aimed at Syria in the near future. The sanctions are part of a response to a poison gas attack Western countries say was carried out by the government of Syrian President Bashar al-Assad.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump and Chinese President Xi Jinping have agreed to a new 100-day plan for trade talks. Commerce Secretary Wilbur Ross says the plan will boost U.S.-China trade.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Syrian warplanes take off from air base hit by U.S. cruise missiles. Syrian Observatory for Human Rights says eight people killed in attack. The extent of the damage to the Shayrat air base is not entirely clear.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian Defence Ministry notified the Pentagon it would close down at 2100 GMT the communications line.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian Foreign Minister Sergei Lavrov discussed the U.S. missile strike on Syria with his Turkish counterpart Mevlut Cavusoglu by phone. The importance of an objective, impartial investigation into all circumstances of the tragedy in Khan Sheikhoun was underlined.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russia has not suspended a military communications channel meant to help U.S. and Russian forces to avoid inadvertent clashes in Syria, officials say. The officials said there had been no retaliatory action by Syria or Russia taken against American forces in Syria since the strikes.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A visit to Moscow by U.S. Secretary of State Rex Tillerson is on the agenda for the coming week, Interfax news agency cited a Russian Foreign Ministry spokeswoman as saying. Maria Zakharova said the ministry expected Tillerson to explain Washingtons stance.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump said he and Chinese President Xi Jinping had made progress in the bilateral U.S.-China relationship. Trump declared that his relationship with the Chinese president was outstanding during brief remarks to reporters.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Canadian Prime Minister Justin Trudeau says he spoke with U.S. President Donald Trump on Friday. Trudeau did not indicate what Trump said to him during the phone call.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Hezbollah says strike would not demoralize the Syrian army or negatively affect its allies. U.S. military action was a service to Israel and its ambitions in the region, Hezbollah says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. officials informed Russian forces ahead of the strikes intended to punish the Syrian government for what they say was a chemical weapons attack. Satellite imagery suggests the Shayrat air base that was struck is home to Russian special forces and military helicopters.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russia has notified the U.S.-led coalition of its intent to suspend a communication channel for avoiding air accidents in the crowded airspace over Syria. A Russian foreign ministry statement had said that Moscow was suspending an air safety agreement with the United States.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Syrian rebels welcome U.S. missile attack on a Syrian army airbase. Free Syrian Army says military action should continue to prevent Syrian government using airbases and banned weapons.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russia has demanded an emergency meeting of the United Nations ceasefire task force in Geneva. Such meetings are chaired by U.N. Syria envoy Staffan de Mistura. They are a forum for diplomats to talk about breaches of Syrias shaky ceasefire.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. and its allies blamed a chemical weapons attack this week on the Syrian government. Jordan considers this a necessary and appropriate response to the continued targeting of civilians.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Turkish President Tayyip Erdogan hails U.S. attack on Syrian air base as a positive development. But he says it is not enough and serious steps are needed to protect the Syrian people. The United States fired cruise missiles earlier on Friday at a Syrian base.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. missile strikes on a Syrian airbase had the understandable intention of preventing more chemical attacks. EU stressed that a negotiate solution was the only way out of the conflict. Those found responsible should be sanctioned within the framework of the United Nations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russias airbase in Latakia province and its naval facility in Tartus are protected by S-300 and S-400 air missile defense systems.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian President Vladimir Putin met with the countrys security council on Friday. They discussed keeping Russias air force presence in Syria following the U.S. missile strikes.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Syrian presidency said a U.S. missile attack on a Syrian army air base in Homs had increased Syrias resolve to defeat insurgent groups. The statement described the attack as rash and irresponsible and showing Washington was naively pulled behind a false propaganda campaign.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""German Chancellor Angela Merkel says U.S. attack on Syrian airbase was understandable. Merkel: Attack understandable given dimension of war crimes, suffering of innocent people.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""NATO Secretary-General Jens Stoltenberg says Syrian President Bashar al-Assad bears full responsibility for the U.S. airstrikes. Any use of chemical weapons is unacceptable, cannot go unanswered, he says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Four children among the dead, state news agency says. Homs governor earlier said seven people had been killed in the attack.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian President Vladimir Putin will hold a meeting of his security council later on Friday. Russia has suspended its Syria air safety agreement with the United States.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. government informed the chancellery and defense minister during the night. The defense minister was informed about the strikes by her American colleague James Mattis.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian Defence Ministry says Syrian air defenses will be beefed up. U.S. cruise missiles struck an air base in western Syria. Four Syrian military personnel were killed in the strikes, it said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Italy's foreign minister earlier gave his backing to a U.S. air strike against a Syrian airfield. Paolo Gentiloni said the strike should not be seen as a stage in a process of military escalation. He added that he had recently spoken to the leaders of France and Germany.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""EU will work with the U.S. to end brutality in Syria, Tusk says on Twitter. Tusk: strikes show needed resolve against barbaric chemical attacks.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. fired dozens of cruise missiles at a Syrian air base earlier on Friday. The United States said a deadly chemical weapons attack was launched this week. Italy currently holds the rotating presidency of the Group of Seven industrialized nations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian Foreign Minister Sergei Lavrov said he hoped U.S. missile strikes on Syria would not irreparably damage relations between Moscow and Washington. \""This is an act of aggression, on an absolutely made-up pretext,\"" Lavrov said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. missile attack on a Syrian airbase on Friday will elevate political tensions. But it is not expected to lead to a military escalation, says a senior official in the military alliance supporting President Bashar al-Assad. The official, a non-Syrian, spoke on condition of anonymity.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Turkish foreign minister Mevlut Cavusoglu calls for Syrian President Bashar al-Assads immediate removal. He says a transitional government must be established and voicing support for a U.S. missile strike overnight on one of his air bases. He said safe zones for civilians were now more important than ever.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""German Chancellor Angela Merkel and French President Francois Hollande spoke. They want to continue efforts to hold Syrian President Bashar al-Assad to account. U.S. fired dozens of cruise missiles at a Syrian airbase from which it said a chemical weapons attack was launched.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""France and Germany will continue efforts through the United Nations to find a peaceful solution to the Syrian crisis. U.S. fired missiles at a Syrian airbase from which it said a deadly chemical weapons attack was launched this week.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian state TV said U.S. air strikes on a Syrian air base had destroyed nine planes. Rossiya 24 channel showed footage of the base after it was struck. Craters, debris and rubble was visible, but the main runway looked largely intact.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Turkish President Tayyip Erdogans spokesman said it was necessary to enforce a no-fly zone and create safe zones in Syria. He called U.S. missile strikes against a Syrian air base a positive response to war crimes.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Secretary of state Rex Tillersons is due to visit Russia for talks next week. Russia's lower house of parliaments international affairs committee head Leonid Slutsky says we need to restore dialogue.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russia wants an emergency meeting of the U.N. Security Council to discuss U.S. missile strikes on Syria. Russia also suspends a Syrian air safety agreement with the United States. Russia has dismissed Western accusations against Syrian President Bashar al-Assad.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump accepted his Chinese counterpart Xi Jinpings invitation to visit China. Xi, on a two-day visit to Trumps Mar-a-Lago resort in Palm Beach, Florida, also urged cooperation with the United States.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump says he would be ready to act unilaterally to address North Koreas nuclear program. Trump: \""I think China will want to be stepping up\""""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""URS Federal Services Inc awarded estimated $3.6 billion U.S. defense contract. Leidos, AASKI Technologies Inc and Textron unit AAI Corp will share in a $900 million contract. Hologic Inc has been awarded a maximum $721 million contract for radiology systems.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The change, proposed by the Trump administration, involves the provision of high-risk pools to subsidize insurance for the seriously ill. It remains unclear whether the tweaked bill could garner enough support from Republican House members to win passage.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Senator Richard Burr said he felt his House of Representatives counterpart had stepped away from that panels investigation. Chairman (Devin) Nunes has made the move he felt necessary to protect the viability of his Committee, Burr said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Vice President Mike Pence will travel to South Korea, Japan, Indonesia, Australia and Hawaii. Pence will be accompanied on the April 15-25 trip by his wife and two daughters. It will be his first official trip to the Asia-Pacific region.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Representative Adam Schiff said materials viewed by the panels Republican chairman, Devin Nunes, at White House would now be made available to all the members on the committee.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Representative Mark Meadows said the group wants to see health insurance coverage waivers related to community rating protections. \""If those offers that were made over the last couple of days actually appear in the legislation, the majority, if not almost all of the Freedom Caucus, will vote for this bill,\"" he said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. Senate is expected to vote at 11 a.m. EDT (1500 GMT) on Thursday on whether to limit debate. Democrats are expected to thwart the Republican effort by denying the 60 votes needed in the 100-member chamber.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. House of Representatives Speaker Paul Ryan says tax reform will take longer to accomplish than repealing and replacing Obamacare. Ryan says Congress and the White House were initially closer to agreement on healthcare legislation than on tax policy.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. House of Representatives will not vote on a bill to replace the Obama administrations signature healthcare law. House Republican leaders withdrew a bill on March 24 due to a lack of votes.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Jordans King Abdullah praised U.S. President Donald Trumps commitment to addressing the Israeli-Palestinian conflict. Abdullah said he had hope for the Arab League peace initiative proposed for the region.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian foreign minister Sergei Lavrov and U.S. Secretary of State Rex Tillerson will discuss global security. They will discuss Syria, North Korea and Ukraine situations, during the latters  visit to Moscow.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump scheduled to speak with German Chancellor Angela Merkel and Japanese Prime Minister Shinzo Abe. The scheduled telephone calls come as a senior ally of Merkel earlier on Wednesday pressed Japan to quickly seal a trade deal with the European Union.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Representative Mark Walker says they made good progress on the issue of high-risk pools for people with pre-existing conditions. Walker, who is chairman of the Republican Study Committee, told reporters more discussions on other sticking points would be held on Wednesday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Mexican foreign minister Luis Videgaray will travel to Washington on Tuesday. He will meet with Secretary of State Rex Tillerson and Secretary of Homeland Security John Kelly. Mexico has taken an assertive role in the OAS in relation to the political and economic crisis in Venezuela.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Senate Majority Leader Mitch McConnell says Republicans have enough votes to change Senate rules. McConnell says senators would be allowed to filibuster on legislation as long as he was leading the chamber.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump says his administration is working on changes to Dodd-Frank banking regulations. Changes will make it easier for banks to loan money, Trump says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Top Democrat on House Intelligence Committee blasts White House. Adam Schiff says White House played a role in selectively and surreptitiously providing documents. He said he expected documents related to surveillance that swept up some communications by Trump associates.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. House of Representatives Speaker Paul Ryan said on Tuesday Republican lawmakers are having productive talks on a new healthcare reform bill. Ryan said it was too soon to say if and when  a new proposal would be put forth.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Senate Banking Committee votes 15 to 8 to advance Jay Claytons nomination. Some Democrats including Massachusetts Senator Elizabeth Warren and Sherrod Brown of Ohio voted against him. Claytons has close ties to Wall Street through his career as a deal-making attorney.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The motion would set up a vote, likely on Thursday, to try to cut off the filibuster. Enough Democrats have agreed to support a filibuster to block a final vote. McConnell is expected to seek a rule change to get the nomination approved.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Rep. Mark Meadows is chairman of the House of Representatives Freedom Caucus. The group helped kill a White House-backed plan last month. Were hopeful that well get the legislative text within the next 24 hours.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""McCain says he had no choice but to go along with a change in rules. He said he would support the rule change because we need to confirm Gorsuch. In the past, McCain has strongly opposed such a change.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump will donate his first-quarter salary of $78,333 to the National Park Service. During the presidential campaign, Trump said he would donate his $400,000 annual salary. Interior Secretary Ryan Zinke, whose agency oversees the 100-year-old protector of 417 national parks, monuments and other sites, said he was thrilled at Trumps decision.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Democratic Senator Chris Coons on Monday announced opposition to President Donald Trumps Supreme Court nominee. Coons announcement put the number of Democrats opposing Neil Gorsuch at 41. Republicans control the Senate 52-48.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Democratic Senator Mark Warner on Monday announced opposition to President Donald Trumps Supreme Court nominee. Warners announcement put the number of Democrats opposing Neil Gorsuch at 41. It remained unclear, however, if all 41 senators who have voiced opposition would back a filibuster.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The story Trump son-in-law Jared Kushner visits Iraq, U.S. official says, is wrong and was withdrawn. A substitute story is available here.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Democratic U.S. Senator Jon Tester said on Sunday that he would vote against Judge Neil Gorsuch. The Montana lawmaker said in a statement that Gorsuch was a smart man, but added: That doesnt make him right for a lifetime appointment.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Democratic U.S. Senator Joe Donnelly threw his support on Sunday behind Judge Neil Gorsuch. He is only the third Democrat to back President Donald Trumps nominee to fill a vacancy on the Supreme Court.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Top Democrat on the U.S. House Intelligence Committee, Adam Schiff, said intelligence reports he viewed at the White House on Friday were the same documents seen by panel Chairman Devin Nunes last week. Nunes sparked a controversy last week when he said he had seen documents that indicated President Donald Trump and associates may have been caught in incidental intelligence collection.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump signs two executive orders on trade. He says the orders will clamp down on countries that abuse trade rules. The orders will set the stage for a great revival of American manufacturing, Trump says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Lockheed Martin Corp is being awarded a U.S. defense contract worth up to $582 million for delivery of F-35 spares.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Representative Adam Schiff called such a request a grave and momentous step. He noted the interests of the Department of Justice in the matter. The panel would discuss with the Justice Department and the Senate Intelligence Committee.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
